sim_time,nodes,services,generated_traffic_B,average_traffic_Bps
41500,20,1000,990,47.90168674698795
41600,20,1000,1980,47.83413461538461
41700,20,1000,1980,47.766906474820146
41800,20,1000,1980,47.7
41900,20,1000,1980,47.633412887828165
42000,20,1000,1980,47.567142857142855
42100,20,1000,1980,47.50118764845606
42200,20,1000,1980,47.43554502369668
42300,20,1000,1980,47.37021276595745
42400,20,1000,2970,47.32853773584905
42500,20,1000,2970,47.287058823529414
42600,20,1000,2970,47.24577464788732
42700,20,1000,2970,47.20468384074942
42800,20,1000,2970,47.163785046728975
42900,20,1000,2970,47.12307692307692
43000,20,1000,2970,47.08255813953488
43100,20,1000,2970,47.042227378190255
43200,20,1000,3960,47.025
43300,20,1000,3960,47.00785219399538
43400,20,1000,3960,46.99078341013825
43500,20,1000,3960,46.97379310344827
43600,20,1000,3960,46.956880733944956
43700,20,1000,3960,46.94004576659039
43800,20,1000,3960,46.92328767123288
43900,20,1000,3960,46.90660592255125
44000,20,1000,4950,46.9125
44100,20,1000,4950,46.91836734693877
44200,20,1000,4950,46.92420814479638
44300,20,1000,4950,46.93002257336343
44400,20,1000,4950,46.935810810810814
44500,20,1000,4950,46.94157303370787
44600,20,1000,4950,46.94730941704036
44700,20,1000,4950,46.95302013422819
44800,20,1000,5940,46.980803571428574
44900,20,1000,5940,47.00846325167038
45000,20,1000,5940,47.036
45100,20,1000,5940,47.06341463414634
45200,20,1000,5940,47.09070796460177
45300,20,1000,5940,47.11788079470199
45400,20,1000,5940,47.144933920704844
45500,20,1000,5940,47.17186813186813
45600,20,1000,6930,47.2203947368421
45700,20,1000,6930,47.26870897155361
45800,20,1000,5940,47.29519650655022
45900,20,1000,5940,47.32156862745098
46000,20,1000,5940,47.34782608695652
46100,20,1000,5940,47.37396963123644
46200,20,1000,5940,47.4
46300,20,1000,5940,47.42591792656587
46400,20,1000,6930,47.47306034482759
46500,20,1000,6930,47.52
46600,20,1000,5940,47.54549356223176
46700,20,1000,5940,47.57087794432548
46800,20,1000,5940,47.59615384615385
46900,20,1000,5940,47.62132196162047
47000,20,1000,5940,47.6463829787234
47100,20,1000,5940,47.671337579617834
47200,20,1000,6930,47.717161016949156
47300,20,1000,6930,47.76279069767442
47400,20,1000,5940,47.7873417721519
47500,20,1000,5940,47.81178947368421
47600,20,1000,5940,47.83613445378151
47700,20,1000,5940,47.86037735849057
47800,20,1000,5940,47.88451882845188
47900,20,1000,5940,47.90855949895616
48000,20,1000,6930,47.953125
48100,20,1000,6930,47.9975051975052
48200,20,1000,5940,48.02116182572614
48300,20,1000,5940,48.04472049689441
48400,20,1000,5940,48.06818181818182
48500,20,1000,5940,48.09154639175258
48600,20,1000,5940,48.114814814814814
48700,20,1000,5940,48.13798767967146
48800,20,1000,6930,48.181352459016395
48900,20,1000,6930,48.224539877300614
49000,20,1000,5940,48.24734693877551
49100,20,1000,5940,48.27006109979634
49200,20,1000,5940,48.292682926829265
49300,20,1000,5940,48.31521298174442
49400,20,1000,5940,48.33765182186235
49500,20,1000,5940,48.36
49600,20,1000,6930,48.40221774193548
49700,20,1000,6930,48.44426559356137
49800,20,1000,5940,48.466265060240964
49900,20,1000,5940,48.48817635270541
50000,20,1000,5940,48.51
50100,20,1000,5940,48.531736526946105
50200,20,1000,5940,48.55338645418327
50300,20,1000,5940,48.57495029821074
50400,20,1000,6930,48.61607142857143
50500,20,1000,6930,48.6570297029703
50600,20,1000,5940,48.678260869565214
50700,20,1000,5940,48.69940828402367
50800,20,1000,5940,48.72047244094488
50900,20,1000,5940,48.741453831041255
51000,20,1000,5940,48.762352941176474
51100,20,1000,5940,48.78317025440313
51200,20,1000,6930,48.8232421875
51300,20,1000,6930,48.863157894736844
51400,20,1000,5940,48.88365758754864
51500,20,1000,5940,48.90407766990291
51600,20,1000,5940,48.924418604651166
51700,20,1000,5940,48.94468085106383
51800,20,1000,5940,48.964864864864865
51900,20,1000,5940,48.984971098265895
52000,20,1000,6930,49.02403846153846
52100,20,1000,6930,49.06295585412668
52200,20,1000,5940,49.08275862068965
52300,20,1000,5940,49.102485659655834
52400,20,1000,5940,49.12213740458015
52500,20,1000,5940,49.141714285714286
52600,20,1000,5940,49.16121673003802
52700,20,1000,5940,49.18064516129032
52800,20,1000,6930,49.21875
52900,20,1000,6930,49.25671077504726
53000,20,1000,5940,49.275849056603775
53100,20,1000,5940,49.29491525423729
53200,20,1000,5940,49.31390977443609
53300,20,1000,5940,49.3328330206379
53400,20,1000,5940,49.35168539325843
53500,20,1000,5940,49.37046728971963
53600,20,1000,6930,49.40764925373134
53700,20,1000,6930,49.44469273743017
53800,20,1000,5940,49.46319702602231
53900,20,1000,5940,49.481632653061226
54000,20,1000,5940,49.5
54100,20,1000,5940,49.51829944547135
54200,20,1000,5940,49.53653136531365
54300,20,1000,5940,49.55469613259668
54400,20,1000,6930,49.590992647058826
54500,20,1000,6930,49.627155963302755
54600,20,1000,5940,49.645054945054945
54700,20,1000,5940,49.66288848263254
54800,20,1000,5940,49.68065693430657
54900,20,1000,5940,49.6983606557377
55000,20,1000,5940,49.716
55100,20,1000,5940,49.733575317604355
55200,20,1000,6930,49.76902173913044
55300,20,1000,6930,49.804339963833634
55400,20,1000,5940,49.82166064981949
55500,20,1000,5940,49.83891891891892
55600,20,1000,5940,49.856115107913666
55700,20,1000,5940,49.873249551166964
55800,20,1000,5940,49.89032258064516
55900,20,1000,5940,49.90733452593918
56000,20,1000,6930,49.941964285714285
56100,20,1000,6930,49.976470588235294
56200,20,1000,5940,49.9932384341637
56300,20,1000,5940,50.00994671403197
56400,20,1000,5940,50.026595744680854
56500,20,1000,5940,50.04318584070796
56600,20,1000,5940,50.059717314487635
56700,20,1000,5940,50.076190476190476
56800,20,1000,5940,50.09260563380282
56900,20,1000,5940,50.10896309314587
57000,20,1000,4950,50.107894736842105
57100,20,1000,4950,50.106830122591944
57200,20,1000,4950,50.10576923076923
57300,20,1000,4950,50.10471204188482
57400,20,1000,4950,50.103658536585364
57500,20,1000,4950,50.10260869565217
57600,20,1000,4950,50.1015625
57700,20,1000,4950,50.10051993067591
57800,20,1000,3960,50.082352941176474
57900,20,1000,3960,50.064248704663214
58000,20,1000,3960,50.04620689655172
58100,20,1000,3960,50.02822719449225
58200,20,1000,3960,50.01030927835052
58300,20,1000,3960,49.99245283018868
58400,20,1000,3960,49.974657534246575
58500,20,1000,3960,49.956923076923076
58600,20,1000,2970,49.92235494880546
58700,20,1000,2970,49.88790459965929
58800,20,1000,2970,49.85357142857143
58900,20,1000,2970,49.81935483870968
59000,20,1000,2970,49.785254237288136
59100,20,1000,2970,49.75126903553299
59200,20,1000,2970,49.71739864864865
59300,20,1000,2970,49.68364249578415
59400,20,1000,1980,49.63333333333333
59500,20,1000,1980,49.583193277310926
59600,20,1000,1980,49.533221476510064
59700,20,1000,1980,49.483417085427135
59800,20,1000,1980,49.433779264214046
59900,20,1000,1980,49.384307178631055
60000,20,1000,1980,49.335
60100,20,1000,1980,49.28585690515807
60200,20,1000,990,49.22043189368771
60300,20,1000,990,49.15522388059701
60400,20,1000,990,49.09023178807947
60500,20,1000,990,49.025454545454544
60600,20,1000,990,48.96089108910891
60700,20,1000,990,48.89654036243822
60800,20,1000,1980,48.848684210526315
60900,20,1000,1980,48.80098522167488
61000,20,1000,990,48.7372131147541
61100,20,1000,990,48.673649754500815
61200,20,1000,990,48.61029411764706
61300,20,1000,990,48.547145187601956
61400,20,1000,990,48.48420195439739
61500,20,1000,990,48.42146341463415
61600,20,1000,1980,48.375
61700,20,1000,1980,48.32868719611021
61800,20,1000,1980,48.28252427184466
61900,20,1000,1980,48.23651050080775
62000,20,1000,1980,48.19064516129032
62100,20,1000,1980,48.14492753623188
62200,20,1000,1980,48.09935691318328
62300,20,1000,1980,48.05393258426966
62400,20,1000,2970,48.02451923076923
62500,20,1000,2970,47.9952
